cell_index,policy,replication,faults,fleet_size,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,connectivity,online_probability,mean_outage_ticks,server_errors,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,merges,accepted,duplicates_suppressed,stale_rejected,sync_requests,bytes_in,bytes_out,events_total,I1,I2,I3,I4,I5
0,last_write_wins,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162591,6,1,1,1,1,1
0,cloud_preferred,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162591,6,1,1,1,1,1
0,display_preferred,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162593,6,1,1,1,1,1
0,manual_review_all,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162593,6,1,1,1,1,1
0,domain_aware,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162588,6,1,1,1,1,1
0,version_vector_causal,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162597,6,1,1,1,1,1
0,version_vector_cloud_wins,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162601,6,1,1,1,1,1
0,version_vector_display_wins,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162603,6,1,1,1,1,1
0,version_vector_random,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162597,6,1,1,1,1,1
0,crdt_field_merge,0,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,873,83031,162592,6,1,1,1,1,1
0,last_write_wins,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163784,6,1,1,1,1,1
0,cloud_preferred,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163784,6,1,1,1,1,1
0,display_preferred,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163786,6,1,1,1,1,1
0,manual_review_all,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163786,6,1,1,1,1,1
0,domain_aware,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163781,6,1,1,1,1,1
0,version_vector_causal,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163790,6,1,1,1,1,1
0,version_vector_cloud_wins,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163794,6,1,1,1,1,1
0,version_vector_display_wins,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163796,6,1,1,1,1,1
0,version_vector_random,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163790,6,1,1,1,1,1
0,crdt_field_merge,1,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,882,83477,163785,6,1,1,1,1,1
0,last_write_wins,2,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,897,84225,164455,6,1,1,1,1,1
0,cloud_preferred,2,0,2,1,2,0.01,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,897,84225,164455,6,1,1,1,1,1
