cell_index,policy,replication,faults,fleet_size,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,connectivity,online_probability,mean_outage_ticks,server_errors,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,merges,accepted,duplicates_suppressed,stale_rejected,sync_requests,bytes_in,bytes_out,events_total,I1,I2,I3,I4,I5
1,last_write_wins,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162423,6,1,1,1,1,1
1,cloud_preferred,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162423,6,1,1,1,1,1
1,display_preferred,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162425,6,1,1,1,1,1
1,manual_review_all,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162425,6,1,1,1,1,1
1,domain_aware,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162420,6,1,1,1,1,1
1,version_vector_causal,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162429,6,1,1,1,1,1
1,version_vector_cloud_wins,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162433,6,1,1,1,1,1
1,version_vector_display_wins,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162435,6,1,1,1,1,1
1,version_vector_random,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162429,6,1,1,1,1,1
1,crdt_field_merge,0,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,860,82388,162424,6,1,1,1,1,1
1,last_write_wins,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163904,6,1,1,1,1,1
1,cloud_preferred,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163904,6,1,1,1,1,1
1,display_preferred,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163906,6,1,1,1,1,1
1,manual_review_all,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163906,6,1,1,1,1,1
1,domain_aware,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163901,6,1,1,1,1,1
1,version_vector_causal,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163910,6,1,1,1,1,1
1,version_vector_cloud_wins,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163914,6,1,1,1,1,1
1,version_vector_display_wins,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163916,6,1,1,1,1,1
1,version_vector_random,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163910,6,1,1,1,1,1
1,crdt_field_merge,1,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,894,84071,163905,6,1,1,1,1,1
1,last_write_wins,2,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83181,163538,6,1,1,1,1,1
1,cloud_preferred,2,0,2,1,2,0.01,0.3,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83181,163538,6,1,1,1,1,1
