cell_index,policy,replication,faults,fleet_size,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,connectivity,online_probability,mean_outage_ticks,server_errors,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,merges,accepted,duplicates_suppressed,stale_rejected,sync_requests,bytes_in,bytes_out,events_total,I1,I2,I3,I4,I5
2,last_write_wins,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162300,6,1,1,1,1,1
2,cloud_preferred,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162618,6,1,1,1,1,1
2,display_preferred,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162302,6,1,1,1,1,1
2,manual_review_all,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,0,0,1,0,0,5,0,0,857,82229,161696,6,1,1,1,1,1
2,domain_aware,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162297,6,1,1,1,1,1
2,version_vector_causal,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162306,6,1,1,1,1,1
2,version_vector_cloud_wins,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162628,6,1,1,1,1,1
2,version_vector_display_wins,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162312,6,1,1,1,1,1
2,version_vector_random,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,857,82229,162306,6,1,1,1,1,1
2,crdt_field_merge,0,0,2,1,2,0.01,0.5,good,0.9,5,0,1,0,0,0,0,0,1,5,0,0,857,82229,162710,6,1,1,1,1,1
2,last_write_wins,1,0,2,1,2,0.01,0.5,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,850,81868,161542,6,1,1,1,1,1
2,cloud_preferred,1,0,2,1,2,0.01,0.5,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,850,81868,161542,6,1,1,1,1,1
2,display_preferred,1,0,2,1,2,0.01,0.5,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,850,81868,161544,6,1,1,1,1,1
2,manual_review_all,1,0,2,1,2,0.01,0.5,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,850,81868,161544,6,1,1,1,1,1
2,domain_aware,1,0,2,1,2,0.01,0.5,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,850,81868,161539,6,1,1,1,1,1
