cell_index,policy,replication,faults,fleet_size,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,connectivity,online_probability,mean_outage_ticks,server_errors,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,merges,accepted,duplicates_suppressed,stale_rejected,sync_requests,bytes_in,bytes_out,events_total,I1,I2,I3,I4,I5
3,manual_review_all,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164597,6,1,1,1,1,1
3,domain_aware,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164592,6,1,1,1,1,1
3,version_vector_causal,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164601,6,1,1,1,1,1
3,version_vector_cloud_wins,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164605,6,1,1,1,1,1
3,version_vector_display_wins,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164607,6,1,1,1,1,1
3,version_vector_random,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164601,6,1,1,1,1,1
3,crdt_field_merge,3,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,909,84822,164596,6,1,1,1,1,1
3,last_write_wins,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162753,6,1,1,1,1,1
3,cloud_preferred,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162753,6,1,1,1,1,1
3,display_preferred,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162755,6,1,1,1,1,1
3,manual_review_all,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162755,6,1,1,1,1,1
3,domain_aware,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162750,6,1,1,1,1,1
3,version_vector_causal,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162759,6,1,1,1,1,1
3,version_vector_cloud_wins,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162763,6,1,1,1,1,1
3,version_vector_display_wins,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162765,6,1,1,1,1,1
3,version_vector_random,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162759,6,1,1,1,1,1
3,crdt_field_merge,4,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,876,83188,162754,6,1,1,1,1,1
3,last_write_wins,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164524,6,1,1,1,1,1
3,cloud_preferred,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164524,6,1,1,1,1,1
3,display_preferred,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164526,6,1,1,1,1,1
3,manual_review_all,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164526,6,1,1,1,1,1
3,domain_aware,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164521,6,1,1,1,1,1
3,version_vector_causal,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164530,6,1,1,1,1,1
3,version_vector_cloud_wins,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164534,6,1,1,1,1,1
3,version_vector_display_wins,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164536,6,1,1,1,1,1
3,version_vector_random,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164530,6,1,1,1,1,1
3,crdt_field_merge,5,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,916,85180,164525,6,1,1,1,1,1
3,last_write_wins,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162889,6,1,1,1,1,1
3,cloud_preferred,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162889,6,1,1,1,1,1
3,display_preferred,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162891,6,1,1,1,1,1
3,manual_review_all,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162891,6,1,1,1,1,1
3,domain_aware,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162886,6,1,1,1,1,1
3,version_vector_causal,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162895,6,1,1,1,1,1
3,version_vector_cloud_wins,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162899,6,1,1,1,1,1
3,version_vector_display_wins,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162901,6,1,1,1,1,1
3,version_vector_random,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162895,6,1,1,1,1,1
3,crdt_field_merge,6,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,853,82029,162890,6,1,1,1,1,1
3,last_write_wins,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163729,6,1,1,1,1,1
3,cloud_preferred,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163729,6,1,1,1,1,1
3,display_preferred,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163731,6,1,1,1,1,1
3,manual_review_all,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163731,6,1,1,1,1,1
3,domain_aware,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163726,6,1,1,1,1,1
3,version_vector_causal,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163735,6,1,1,1,1,1
3,version_vector_cloud_wins,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163739,6,1,1,1,1,1
3,version_vector_display_wins,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163741,6,1,1,1,1,1
3,version_vector_random,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163735,6,1,1,1,1,1
3,crdt_field_merge,7,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,898,84276,163730,6,1,1,1,1,1
3,last_write_wins,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161631,6,1,1,1,1,1
3,cloud_preferred,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161965,6,1,1,1,1,1
3,display_preferred,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161633,6,1,1,1,1,1
3,manual_review_all,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,0,0,1,0,0,5,0,0,850,81889,161035,6,1,1,1,1,1
3,domain_aware,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161628,6,1,1,1,1,1
3,version_vector_causal,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161637,6,1,1,1,1,1
3,version_vector_cloud_wins,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161975,6,1,1,1,1,1
3,version_vector_display_wins,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161643,6,1,1,1,1,1
3,version_vector_random,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,1,0,0,0,0,5,0,0,850,81889,161637,6,1,1,1,1,1
3,crdt_field_merge,8,0,2,1,2,0.05,0.15,good,0.9,5,0,1,0,0,0,0,0,1,5,0,0,850,81889,162057,6,1,1,1,1,1
3,last_write_wins,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160903,6,1,1,1,1,1
3,cloud_preferred,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160903,6,1,1,1,1,1
3,display_preferred,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160905,6,1,1,1,1,1
3,manual_review_all,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160905,6,1,1,1,1,1
3,domain_aware,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160900,6,1,1,1,1,1
3,version_vector_causal,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160909,6,1,1,1,1,1
3,version_vector_cloud_wins,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160913,6,1,1,1,1,1
3,version_vector_display_wins,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160915,6,1,1,1,1,1
3,version_vector_random,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160909,6,1,1,1,1,1
3,crdt_field_merge,9,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,843,81537,160904,6,1,1,1,1,1
3,last_write_wins,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161670,6,1,1,1,1,1
3,cloud_preferred,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161670,6,1,1,1,1,1
3,display_preferred,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161672,6,1,1,1,1,1
3,manual_review_all,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161672,6,1,1,1,1,1
3,domain_aware,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161667,6,1,1,1,1,1
3,version_vector_causal,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161676,6,1,1,1,1,1
3,version_vector_cloud_wins,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161680,6,1,1,1,1,1
3,version_vector_display_wins,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161682,6,1,1,1,1,1
3,version_vector_random,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161676,6,1,1,1,1,1
3,crdt_field_merge,10,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,852,81978,161671,6,1,1,1,1,1
3,last_write_wins,11,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,866,82674,161890,6,1,1,1,1,1
3,cloud_preferred,11,0,2,1,2,0.05,0.15,good,0.9,5,0,0,0,0,0,0,0,0,6,0,0,866,82674,161890,6,1,1,1,1,1
